Action,action,
Actions,* Actions,
Active,active,
Added,Added,
All,အားလုံး,
All,အားလုံး,
Amount,ငွေပမာဏ,
App,App ကို,
App Name,App ကိုအမည်,
Approved,Approved,
Batch Size,batch Size ကို,
Batch Size,batch Size ကို,
Bold,ရဲရင့်,
Branch,အညွန့,
Cancel,ပျက်စေ,
Cancelled,ဖျက်သိမ်းခဲ့သည်,
Category,Category:,
Category,Category:,
Close,ပိတ်,
Completed,ပြီးစီး,
Contact,ထိတှေ့,
Context,နောက်ခံ,
Cron,Cron,
Currency,ငှေကွေး,
Customer Name,ဖောက်သည်အမည်,
Daily,နေ့စဉ်,
Description,ဖေါ်ပြချက်,
Enabled,Enabled,
Error,အမှား,
Error,အမှား,
Error Log,အမှားပါ,
Error Message,အမှားပြစာ,
Failed,Failed,
File,ဖိုင်,
File Information,ပြန်ကြားရေး file,
Friday,သောကြာနေ့,
General Settings,General Settings,
GitHub,GitHub,
Help,ကူညီကြပါ,
Important,အရေးကြီးတယ်,
In Progress,ဆောင်ရွက်ဆဲဖြစ်သည်,
Keyboard Shortcuts,keyboard Shortcuts,
Language,ဘာသာစကား,
Loading,loading,
Manual,လက်စွဲ,
Model,ပုံစံ,
Module,module,
Module,module,
Module Name,module အမည်,
Monday,တနင်္လာနေ့,
Monthly,လစဉ်,
More,နောက်ထပ်,
Name,နာမကို,
Next,နောက်တစ်ခု,
Normal,သာမန်,
Options,Options ကို,
PDF Settings,PDF ဖိုင်ရယူရန် Settings ကို,
Payment Date,ငွေပေးချေသည့်နေ့ရက်,
Pending,လာမည့်,
Pending,လာမည့်,
Previous,လွန်ခဲ့သော,
Price,စျေးနှုန်း,
Priority,ဦးစားပေး,
Progress,တိုးတက်ခြင်း,
Progress,တိုးတက်ခြင်း,
Provider,provider,
Queued,Queued,
Refresh,အားဖြည့်,
Reload,Reload ကို,
Saturday,စနေနေ့,
Schedule Name,ဇယားအမည်,
Scheduled,Scheduled,
Session Defaults,session Defaults ကို,
Signature,လက်မှတ်,
Source Text,source စာသား,
Status,အဆင့်အတန်း,
Status,အဆင့်အတန်း,
Success,အောင်မြင်သည်,
Summary,အကျဉ်းချုပ်,
Sunday,တနင်္ဂနွေ,
System,စံနစ်,
System Manager,system Manager က,
Terms,သက်မှတ်ချက်များ,
Thursday,ကြာသပတေးနေ့,
Time,အချိန်,
Toggle Sidebar,toggle Sidebar,
Transaction ID,ငွေသွင်းငွေထုတ် ID ကို,
Translated Text,ဘာသာပြန်ထားသောစာသား,
Tuesday,အင်္ဂါနေ့,
Unchanged,မပြောင်းလဲ,
Untranslated,ဘာသာပြန်ခြင်း,
Updated,Updated,
User,အသုံးပြုသူကို,
View Website,view ဝက်ဘ်ဆိုက်,
Wednesday,ဗုဒ္ဓဟူးနေ့,
Weekday,WEEKDAY,
Weekly,ရက်သတ္တပတ်တကြိမ်ဖြစ်သော,
th,ကြိမ်မြောက်,
